Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
BREAKOUT0 ,1,"Conn_01x18_Male","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","~"
C1004 C1003 C1002 ,3,".47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810251812_Samsung-Electro-Mechanics-CL21B474KBFNNNE_C13967.pdf","CL21B474KBFNNNE","JLCPCB","C13967","","","","","","","","","","",""
C15 C63 ,2,"220uF 25V","Capacitor_SMD:CP_Elec_8x10"," https://datasheet.lcsc.com/lcsc/1809291333_Lelon-VEJ221M1ETR-0810_C134765.pdf","VEJ221M1ETR-0810","JLCPCB","C134765","","","","","","","","","","",""
C18 C19 C23 C22 ,4,"1800pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811061740_FH-Guangdong-Fenghua-Advanced-Tech-0805B182K500NT_C1722.pdf","0805B182K500NT","JLCPCB","C1722","","","","","","","","","","",""
C2 C56 C55 ,3,"10uF 25v","Capacitor_SMD:CP_Elec_4x5.3","https://datasheet.lcsc.com/lcsc/1809291326_Lelon-VE-100M1ETR-0405_C134721.pdf","VE-100M1ETR-0405","JLCPCB","C134721","","","","","","","","","","",""
C24 ,1,"10uF NP","Capacitor_THT:C_Radial_D6.3mm_H5.0mm_P2.50mm","https://products.nichicon.co.jp/en/pdf/XJA043/e-uvp.pdf","UVP1E100MDD1TD","digikey","493-12688-1-ND","","","","","","","","","","",""
C26 C4 C1 C28 C14 C6 C7 C13 C47 C48 C1001 C51 C50 C42 C39 C41 C38 C40 C12 C8 ,20,".1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811121310_Samsung-Electro-Mechanics-CL21A106KAYNNNE_C15850.pdf","CL21A106KAYNNNE","JLCPCB","C15850","","","","","","","","","","",""
C27 ,1,"100uF 16v","Capacitor_SMD:CP_Elec_6.3x5.3","https://datasheet.lcsc.com/lcsc/1811051603_Lelon-VEJ101M1CTR-0605_C164064.pdf","VEJ101M1CTR-0605","JLCPCB","C164064","","","","","","","","","","",""
C29 ,1,"4700uF 25V","Capacitor_SMD:CP_Elec_18x22","https://datasheet.lcsc.com/lcsc/1811051717_Lelon-VEJ472M1ETR-1821_C249676.pdf","VEJ472M1ETR-1821","JLCPCB","C249676","","","","","","","","","","",""
C3 ,1,"1uF 50V","Capacitor_SMD:CP_Elec_4x5.4"," https://datasheet.lcsc.com/lcsc/2105211834_Honor-Elec-RVT1H1R0M0405_C3348.pdf","RVT1H1R0M0405","JLCPCB","C3348","","","","","","","","","","",""
C34 ,1,"100pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810241824_Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf","CL21C101JBANNNC","JLCPCB","C1790","","","","","","","","","","",""
C36 C25 C49 C17 C16 C21 C20 C57 ,8,".022uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL21B223KBANNNC_C1729.pdf","CL21B223KBANNNC","JLCPCB","C1729","","","","","","","","","","",""
C5 C53 C52 ,3,".033uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811061723_FH-Guangdong-Fenghua-Advanced-Tech-0805B333K500NT_C1739.pdf","0805B333K500NT","JLCPCB","C1739","","","","","","","","","","",""
C54 ,1,"470uF 16V","Capacitor_SMD:CP_Elec_8x10"," https://datasheet.lcsc.com/lcsc/1809291327_Lelon-VEJ471M1CTR-0810_C176671.pdf","VEJ471M1CTR-0810","JLCPCB","C176671","","","","","","","","","","",""
C60 ,1,"33pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"," https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL21C330JBANNNC_C1814.pdf","CL21C330JBANNNC","JLCPCB"," C1814","","","","","","","","","","",""
C61 C37 C10 C11 ,4,"39pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810191333_Walsin-Tech-Corp-0805N390J500CT_C296098.pdf","0805N390J500CT","JLCPCB","C296098","","","","","","","","","","",""
C64 ,1,"150pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811061722_FH-Guangdong-Fenghua-Advanced-Tech-0805B151K500NT_C1716.pdf","0805B151K500NT","JLCPCB","C1716","","","","","","","","","","",""
C68 C59 C58 ,3,"1000pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://datasheet.lcsc.com/lcsc/1808311543_Samsung-Electro-Mechanics-CL21B102KBCNNNC_C46653.pdf","CL21B102KBCNNNC","JLCPCB","C46653","","","","","","","","","","",""
C9 ,1,"100uF 16V","Capacitor_SMD:CP_Elec_6.3x5.3","https://datasheet.lcsc.com/lcsc/1811051603_Lelon-VEJ101M1CTR-0605_C164064.pdf","VEJ101M1CTR-0605","JLCPCB","C164064","","","","","","","","","","",""
CN1 ,1,"Conn_02x20_Odd_Even","coco2:EBC20DRAS","https://s3.amazonaws.com/catalogspreads-pdf/PAGE50-51%20.100%20LP%20DS%20EYE%20RA.pdf","EBC20DRAS","digikey","S9672-ND","","","","","","","","","","",""
CN2 ,1,"Conn_01x16_Female","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=520415&DocType=Customer+Drawing&DocLang=English","6-520415-6","digikey","A144434-ND","","","","","","","","","","",""
CN3 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","https://drawings-pdf.s3.amazonaws.com/11636.pdf","PRPC005DAAN-RC","digikey","S2011EC-05-ND","","","","","","","","","","",""
