Designator,Mid X ,Mid Y ,"Rotation
",Layer
C1,255.501,-53.174,270,top
C2,273.001,-37.544,0,top
C3,292.951,-49.864,0,top
C4,274.201,-111.724,180,top
C5,290.801,-56.574,180,top
C6,117.401,-160.374,0,top
C7,136.001,-159.874,180,top
C8,244.001,-98.574,270,top
C9,235.931,-105.544,90,top
C10,227.301,-101.374,270,top
C11,284.701,-106.924,270,top
C12,247.201,-127.274,0,top
C13,108.666,-108.634,0,top
C14,76.5014,-119.274,90,top
C15,68.4014,-142.174,0,top
C16,103.801,-42.944,270,top
C17,100.801,-69.324,90,top
C18,102.301,-63.874,270,top
C19,103.801,-53.274,270,top
C20,96.8014,-42.944,270,top
C21,98.3014,-58.974,90,top
C22,100.301,-42.944,270,top
C23,98.3014,-63.874,270,top
C25,170.501,-49.804,90,top
C26,298.501,-116.374,270,top
C27,294.901,-108.074,0,top
C28,65.1014,-161.074,270,top
C29,87.7014,-148.574,90,top
C34,255.501,-46.274,270,top
C36,102.401,-80.174,180,top
C37,240.781,-88.344,180,top
C38,147.101,-88.574,90,top
C39,123.401,-53.474,90,top
C40,123.401,-88.574,90,top
C41,123.401,-71.024,90,top
C42,281.001,-145.504,90,top
C47,159.401,-141.174,90,top
C48,159.401,-153.774,90,top
C49,102.301,-58.974,90,top
C50,240.721,-69.974,0,top
C51,235.101,-65.374,180,top
C52,234.001,-90.774,0,top
C53,226.801,-47.274,0,top
C54,201.401,-28.074,90,top
C55,250.001,-58.274,0,top
C56,265.701,-37.574,0,top
C57,304.751,-161.974,0,top
C58,299.251,-162.474,180,top
C59,291.751,-162.474,180,top
C60,198.701,-144.324,180,top
C61,300.301,-46.274,90,top
C63,103.601,-91.674,0,top
C64,203.301,-135.274,90,top
C68,102.601,-108.634,0,top
C1001,154.501,-66.274,90,top
C1002,154.501,-71.074,90,top
C1003,161.701,-63.274,0,top
C1004,153.401,-76.574,180,top
D5,196.401,-49.804,270,top
D12,297.801,-35.474,270,top
D1001,74.9014,-151.674,90,top
D1002,57.8014,-134.174,180,top
D1003,250.251,-36.424,270,top
D1004,244.901,-36.424,270,top
IC3,284.101,-66.574,0,top
IC9,247.301,-136.774,0,top
IC10,156.101,-88.574,90,top
IC11,132.501,-53.474,90,top
IC12,132.501,-88.574,90,top
IC13,132.501,-71.024,90,top
IC14,166.501,-141.174,90,top
IC15,166.501,-153.774,90,top
L1001,67.9014,-151.074,90,top
Q1001,190.901,-60.774,90,top
R1,293.826,-35.464,270,top
R2,281.326,-35.464,270,top
R3,284.451,-35.464,270,top
R4,287.576,-35.464,270,top
R5,290.701,-35.464,270,top
R6,152.701,-131.574,90,top
R7,143.101,-159.874,0,top
R8,230.901,-96.424,270,top
R9,216.301,-153.174,90,top
R10,210.801,-152.894,90,top
R11,287.801,-113.124,90,top
R12,115.401,-143.074,0,top
R13,158.901,-55.874,90,top
R14,166.001,-55.974,90,top
R21,151.901,-155.814,270,top
R22,184.501,-131.374,270,top
R23,188.801,-131.374,270,top
R24,115.301,-108.774,180,top
R27,235.021,-82.224,0,top
R28,240.151,-75.674,0,top
R29,245.181,-79.174,180,top
R30,240.151,-56.204,180,top
R31,250.041,-50.524,90,top
R32,254.461,-39.524,90,top
R33,247.011,-50.524,90,top
R34,246.901,-42.474,270,top
R35,257.501,-39.524,90,top
R36,260.561,-39.514,90,top
R38,284.001,-128.074,90,top
R39,287.001,-128.074,90,top
R40,282.401,-153.474,180,top
R42,283.884,-146.074,90,top
R43,286.908,-146.074,90,top
R45,290.001,-128.074,90,top
R46,293.001,-128.074,90,top
R47,282.401,-156.599,180,top
R49,289.931,-146.074,90,top
R50,292.954,-146.074,90,top
R52,296.001,-128.074,90,top
R53,299.001,-128.074,90,top
R54,282.401,-159.724,180,top
R56,295.978,-146.074,90,top
R57,299.001,-146.074,90,top
R59,105.161,-150.474,180,top
R61,105.161,-145.574,180,top
R62,105.161,-142.574,180,top
R63,193.101,-131.374,270,top
R64,278.201,-45.624,90,top
R65,186.051,-150.224,270,top
R66,161.201,-79.374,0,top
R68,245.181,-85.074,180,top
R69,240.151,-62.294,180,top
R70,229.991,-59.244,0,top
R71,240.151,-53.174,180,top
R72,240.151,-50.144,180,top
R1001,191.001,-67.574,180,top
R1002,64.1014,-127.874,90,top
R1003,60.3014,-106.774,180,top
R1004,67.3014,-111.874,0,top
R1005,65.0014,-134.074,0,top
R1006,58.7014,-127.874,270,top
R1007,57.5014,-114.274,0,top
R1008,53.3014,-119.874,270,top
U1001,52.2014,-152.974,180,top
U1002,161.601,-71.074,0,top
U1003,67.8014,-119.274,0,top
